FrogID,Treatment,Frog.Mass..grams.,SVL..millimeters.,week,its
27,prior exposure heat,5.95,46,4,NA
27,prior exposure heat,5.95,46,5,NA
27,prior exposure heat,5.95,46,6,NA
27,prior exposure heat,5.95,46,7,NA
27,prior exposure heat,5.95,46,8,NA
27,prior exposure heat,5.95,46,9,NA
27,prior exposure heat,5.95,46,10,NA
27,prior exposure heat,5.95,46,11,NA
27,prior exposure heat,5.95,46,12,NA
27,prior exposure heat,5.95,46,13,NA
28,prior exposure heat,8.87,55,0,0
28,prior exposure heat,8.87,55,1,0
28,prior exposure heat,8.87,55,2,1906.095854
28,prior exposure heat,8.87,55,3,28763.14087
28,prior exposure heat,8.87,55,4,13384.82739
28,prior exposure heat,8.87,55,5,13984.84331
28,prior exposure heat,8.87,55,6,36672.74683
28,prior exposure heat,8.87,55,7,20146.59301
28,prior exposure heat,8.87,55,8,0
28,prior exposure heat,8.87,55,9,83.93166174
28,prior exposure heat,8.87,55,10,0
28,prior exposure heat,8.87,55,11,0
28,prior exposure heat,8.87,55,12,37.50045541
28,prior exposure heat,8.87,55,13,0
29,prior exposure heat,4,40,0,0
29,prior exposure heat,4,40,1,290.1731195
29,prior exposure heat,4,40,2,1132.516289
29,prior exposure heat,4,40,3,5644.142725
29,prior exposure heat,4,40,4,417.6362658
29,prior exposure heat,4,40,5,6589.643463
29,prior exposure heat,4,40,6,3362.409885
29,prior exposure heat,4,40,7,7053.115739
29,prior exposure heat,4,40,8,8308.173123
29,prior exposure heat,4,40,9,2331.755717
29,prior exposure heat,4,40,10,1222.692117
29,prior exposure heat,4,40,11,17919.27422
29,prior exposure heat,4,40,12,12951.98266
29,prior exposure heat,4,40,13,18809.6409
30,prior exposure heat,7.13,50,0,0
30,prior exposure heat,7.13,50,1,210.6816146
30,prior exposure heat,7.13,50,2,88.76134067
30,prior exposure heat,7.13,50,3,5173.958714
30,prior exposure heat,7.13,50,4,2906.486504
30,prior exposure heat,7.13,50,5,20953.36605
30,prior exposure heat,7.13,50,6,17886.64714
30,prior exposure heat,7.13,50,7,2292.023039
30,prior exposure heat,7.13,50,8,2020.260879
30,prior exposure heat,7.13,50,9,5074.320344
30,prior exposure heat,7.13,50,10,1416.813859
30,prior exposure heat,7.13,50,11,903.831317
30,prior exposure heat,7.13,50,12,13589.63819
30,prior exposure heat,7.13,50,13,11832.62597
31,prior exposure heat,7.62,49,0,0
31,prior exposure heat,7.62,49,1,2896.391597
31,prior exposure heat,7.62,49,2,641.694202
31,prior exposure heat,7.62,49,3,368.9451075
31,prior exposure heat,7.62,49,4,0
31,prior exposure heat,7.62,49,5,0
31,prior exposure heat,7.62,49,6,11.2830977
31,prior exposure heat,7.62,49,7,0
31,prior exposure heat,7.62,49,8,0
31,prior exposure heat,7.62,49,9,0
31,prior exposure heat,7.62,49,10,0
31,prior exposure heat,7.62,49,11,0
31,prior exposure heat,7.62,49,12,0
31,prior exposure heat,7.62,49,13,0
32,prior exposure heat,5.53,45,0,0
32,prior exposure heat,5.53,45,1,10888.85894
32,prior exposure heat,5.53,45,2,3949.007515
32,prior exposure heat,5.53,45,3,25073.62367
32,prior exposure heat,5.53,45,4,7599.831882
32,prior exposure heat,5.53,45,5,1087.012755
32,prior exposure heat,5.53,45,6,509.6847958
32,prior exposure heat,5.53,45,7,0
32,prior exposure heat,5.53,45,8,0
32,prior exposure heat,5.53,45,9,0
32,prior exposure heat,5.53,45,10,1019.303073
32,prior exposure heat,5.53,45,11,0
32,prior exposure heat,5.53,45,12,0
32,prior exposure heat,5.53,45,13,0
33,prior exposure heat,5.17,42.5,0,0
33,prior exposure heat,5.17,42.5,1,1427.15699
33,prior exposure heat,5.17,42.5,2,12915.72696
33,prior exposure heat,5.17,42.5,3,59930.09239
33,prior exposure heat,5.17,42.5,4,59330.31911
33,prior exposure heat,5.17,42.5,5,124925.4865
33,prior exposure heat,5.17,42.5,6,58219.63586
33,prior exposure heat,5.17,42.5,7,13293.9309
33,prior exposure heat,5.17,42.5,8,375188.6287
33,prior exposure heat,5.17,42.5,9,859277.6553
33,prior exposure heat,5.17,42.5,10,1133564.461
33,prior exposure heat,5.17,42.5,11,NA
33,prior exposure heat,5.17,42.5,12,NA
33,prior exposure heat,5.17,42.5,13,NA
34,prior exposure heat,6.75,48,0,0
34,prior exposure heat,6.75,48,1,1886.625582
34,prior exposure heat,6.75,48,2,1892.414919
34,prior exposure heat,6.75,48,3,9673.922941
34,prior exposure heat,6.75,48,4,1971.338775
34,prior exposure heat,6.75,48,5,8098.785666
34,prior exposure heat,6.75,48,6,11940.18112
34,prior exposure heat,6.75,48,7,10426.19201
34,prior exposure heat,6.75,48,8,0
34,prior exposure heat,6.75,48,9,0
34,prior exposure heat,6.75,48,10,0
34,prior exposure heat,6.75,48,11,0
34,prior exposure heat,6.75,48,12,0
34,prior exposure heat,6.75,48,13,0
35,prior exposure heat,7.28,50.5,0,0
35,prior exposure heat,7.28,50.5,1,907.6138847
35,prior exposure heat,7.28,50.5,2,422.910846
35,prior exposure heat,7.28,50.5,3,187.3720225
35,prior exposure heat,7.28,50.5,4,8670.156372
35,prior exposure heat,7.28,50.5,5,13227.19274
35,prior exposure heat,7.28,50.5,6,7984.733151
35,prior exposure heat,7.28,50.5,7,3551.25035
35,prior exposure heat,7.28,50.5,8,2611.673691
35,prior exposure heat,7.28,50.5,9,207.4969007
35,prior exposure heat,7.28,50.5,10,460.7100733
35,prior exposure heat,7.28,50.5,11,0
35,prior exposure heat,7.28,50.5,12,0
35,prior exposure heat,7.28,50.5,13,0
36,prior exposure heat,5.91,47,0,0
36,prior exposure heat,5.91,47,1,1675.877005
36,prior exposure heat,5.91,47,2,849.4413457
36,prior exposure heat,5.91,47,3,18440.56888
36,prior exposure heat,5.91,47,4,2500.210091
36,prior exposure heat,5.91,47,5,9162.693158
36,prior exposure heat,5.91,47,6,530.1120532
36,prior exposure heat,5.91,47,7,0
36,prior exposure heat,5.91,47,8,71.49594586
36,prior exposure heat,5.91,47,9,0
36,prior exposure heat,5.91,47,10,0
36,prior exposure heat,5.91,47,11,0
36,prior exposure heat,5.91,47,12,0
36,prior exposure heat,5.91,47,13,0
37,prior exposure heat,7.25,49,0,0
37,prior exposure heat,7.25,49,1,4314.702051
37,prior exposure heat,7.25,49,2,503.2438312
37,prior exposure heat,7.25,49,3,11644.16897
37,prior exposure heat,7.25,49,4,1179.756408
37,prior exposure heat,7.25,49,5,13461.05123
37,prior exposure heat,7.25,49,6,4723.822536
37,prior exposure heat,7.25,49,7,7125.876647
37,prior exposure heat,7.25,49,8,19472.50123
37,prior exposure heat,7.25,49,9,13298.3423
37,prior exposure heat,7.25,49,10,108064.4083
37,prior exposure heat,7.25,49,11,14203.44983
37,prior exposure heat,7.25,49,12,17033.09304
37,prior exposure heat,7.25,49,13,1022.10088
38,prior exposure heat,5.6,44,0,0
38,prior exposure heat,5.6,44,1,0
38,prior exposure heat,5.6,44,2,71.69009424
38,prior exposure heat,5.6,44,3,180.7234161
38,prior exposure heat,5.6,44,4,1229.172916
38,prior exposure heat,5.6,44,5,31490.05135
38,prior exposure heat,5.6,44,6,13496.4923
38,prior exposure heat,5.6,44,7,NA
38,prior exposure heat,5.6,44,8,NA
38,prior exposure heat,5.6,44,9,NA
38,prior exposure heat,5.6,44,10,NA
38,prior exposure heat,5.6,44,11,NA
38,prior exposure heat,5.6,44,12,NA
38,prior exposure heat,5.6,44,13,NA
39,prior exposure heat,9.18,51,0,0
39,prior exposure heat,9.18,51,1,22129.36443
39,prior exposure heat,9.18,51,2,18592.00206
