IndividualID,Date,Experiment1,Experiment2,Experiment3,Phase,Phase2,DPI,Sex,Weight_with_bag,BdLoad_1_Capture,BdLoad,BsalLoad,Shedding_coded,Shedding,Crickets,Other,Death,Death_revised,Death_censor,Complete_Experiment1,DiedExp1,BdExposed
GP39,8/15/16,Bsal_BdLater,None,None,3_Experiment1,3_Experiment1,21,NA,2.08,0,0,0,notvisible,NA,NA,NA,NA,,0,completed_coinfectionexp1,SurvivedExp1,no
GP41,8/15/16,Bsal_BdLater,None,None,3_Experiment1,3_Experiment1,21,NA,1.94,30.3,0,2488.66087,notvisible,NA,NA,NA,NA,,0,completed_coinfectionexp1,DiedExp1,yes
GP42,8/15/16,Bsal_BdLater,None,None,3_Experiment1,3_Experiment1,21,NA,2.39,2.83,0,1467.08421,notvisible,NA,NA,NA,NA,,0,completed_coinfectionexp1,DiedExp1,yes
SD6,8/15/16,Bsal_BdLater,None,None,3_Experiment1,3_Experiment1,21,NA,2.32,0,0,0,notvisible,NA,NA,NA,NA,,0,completed_coinfectionexp1,SurvivedExp1,no
SD9,8/15/16,Bsal_BdLater,None,None,3_Experiment1,3_Experiment1,21,NA,2.7,0,0,0,notvisible,NA,NA,NA,NA,,0,completed_coinfectionexp1,DiedExp1,no
FS7,9/5/2016,Bsal_ONLY,None,None,3_Experiment1,3_Experiment1,41,NA,2.22,597.4,0,0,notvisible,NA,NA,NA,NA,dead,0,No,NA,yes
FS7,9/12/2016,Bsal_ONLY,None,None,3_Experiment1,3_Experiment1,48,NA,2.45,597.4,0,0,notvisible,NA,NA,NA,NA,dead,0,No,NA,yes
FS7,9/19/16,Bsal_ONLY,None,None,3_Experiment1,3_Experiment1,55,NA,2.11,597.4,0,0,notvisible,NA,NA,NA,NA,dead,0,No,NA,yes
FS8,8/15/16,Bsal_ONLY,None,None,3_Experiment1,3_Experiment1,21,NA,2.03,0,0,0,notvisible,NA,NA,NA,NA,alive,0,No,NA,no
FS7,9/29/16,Bsal_ONLY,None,None,3_Experiment1,3_Experiment1,67,NA,NA,597.4,0,0,notvisible,NA,NA,NA,Euthanized_9/29/16,dead,0,No,NA,yes
GP18,8/15/16,Bsal_ONLY,None,None,3_Experiment1,3_Experiment1,21,NA,2.54,75.1,0,0,notvisible,NA,NA,NA,NA,alive,0,completed_coinfectionexp1,SurvivedExp1,yes
GP10,16-Jun,Bsal_ONLY,None,None,1_Capture,1_Capture,0,NA,NA,0,0,0,notvisible,NA,NA,NA,NA,dead,0,No,NA,no
GP10,16-Jul,Bsal_ONLY,None,None,2_After_itra,2_After_itra,0,NA,NA,0,0,0,notvisible,NA,NA,NA,NA,dead,0,No,NA,no
GP10,8/1/2016,Bsal_ONLY,None,None,3_Experiment1,3_Experiment1,7,NA,NA,0,0,9.072977149,notvisible,NA,NA,NA,NA,dead,0,No,NA,no
GP10,8/8/2016,Bsal_ONLY,None,None,3_Experiment1,3_Experiment1,14,NA,2.27,0,0,0,yes,pieces,NA,NA,NA,dead,0,No,NA,no
SD10,8/15/16,Bsal_ONLY,None,None,3_Experiment1,3_Experiment1,21,NA,2.15,5.91,0,0,notvisible,NA,NA,NA,NA,alive,0,completed_coinfectionexp1,SurvivedExp1,yes
GP10,8/10/2016,Bsal_ONLY,None,None,3_Experiment1,3_Experiment1,16,NA,NA,0,0,0,notvisible,NA,NA,NA,NA,dead,0,No,NA,no
FS2,8/15/16,CONTROL_negative,control,CONTROL_negative,3_Experiment1,3_Experiment1,21,NA,2.3,168.62,0,0,notvisible,NA,NA,NA,NA,,0,completed_coinfectionexp1,SurvivedExp1,yes
FS4,8/15/16,CONTROL_negative,control,CONTROL_negative,3_Experiment1,3_Experiment1,21,NA,3.19,0,0,0,notvisible,NA,NA,NA,NA,,0,No,NA,no
GP27,8/15/16,CONTROL_negative,control,CONTROL_negative,3_Experiment1,3_Experiment1,21,NA,1.89,20.53,0,0,notvisible,NA,NA,NA,NA,,0,completed_coinfectionexp1,SurvivedExp1,yes
GP29,8/15/16,CONTROL_negative,control,CONTROL_negative,3_Experiment1,3_Experiment1,21,NA,1.76,0,0,0,notvisible,NA,NA,NA,NA,,0,completed_coinfectionexp1,SurvivedExp1,no
GP3,8/15/16,CONTROL_negative,control,CONTROL_negative,3_Experiment1,3_Experiment1,21,NA,2.39,9.6,0,0,notvisible,NA,NA,NA,NA,,0,completed_coinfectionexp1,SurvivedExp1,yes
GP7,8/15/16,CONTROL_negative,control,CONTROL_negative,3_Experiment1,3_Experiment1,21,NA,3.03,0,0,0,notvisible,NA,NA,NA,NA,,0,completed_coinfectionexp1,SurvivedExp1,no
FS1,8/15/16,CONTROL_noitraconazole,control,CONTROL_noitraconazole,3_Experiment1,3_Experiment1,21,NA,2.3,196.63,3.32,0,notvisible,NA,NA,NA,NA,,0,completed_coinfectionexp1,SurvivedExp1,yes
