input_name,accepted_name,source
Allobates albiventris,Allobates albiventris,AmphibiaWeb
Allobates alessandroi,Allobates alessandroi,AmphibiaWeb
Allobates algorei,Allobates algorei,AmphibiaWeb
Allobates amissibilis,Allobates amissibilis,AmphibiaWeb
Allobates bacurau,Allobates bacurau,AmphibiaWeb
Allobates bromelicola,Allobates bromelicola,AmphibiaWeb
Allobates brunneus,Allobates brunneus,AmphibiaWeb
Allobates caeruleodactylus,Allobates caeruleodactylus,AmphibiaWeb
Allobates caldwellae,Allobates caldwellae,AmphibiaWeb
Allobates carajas,Allobates carajas,AmphibiaWeb
Allobates caribe,Allobates caribe,AmphibiaWeb
Allobates cepedai,Allobates cepedai,AmphibiaWeb
Allobates chalcopis,Allobates chalcopis,AmphibiaWeb
Allobates conspicuus,Allobates conspicuus,AmphibiaWeb
Allobates crombiei,Allobates crombiei,AmphibiaWeb
Allobates femoralis,Allobates femoralis,AmphibiaWeb
Allobates flaviventris,Allobates flaviventris,AmphibiaWeb
Allobates fratisenescus,Allobates fratisenescus,AmphibiaWeb
Allobates fuscellus,Allobates fuscellus,AmphibiaWeb
Allobates gasconi,Allobates gasconi,AmphibiaWeb
Allobates goianus,Allobates goianus,AmphibiaWeb
Allobates granti,Allobates granti,AmphibiaWeb
Allobates grillicantus,Allobates grillicantus,AmphibiaWeb
Allobates grillisimilis,Allobates grillisimilis,AmphibiaWeb
Allobates hodli,Allobates hodli,AmphibiaWeb
Allobates humilis,Allobates humilis,AmphibiaWeb
Allobates ignotus,Allobates ignotus,AmphibiaWeb
Allobates insperatus,Allobates insperatus,AmphibiaWeb
Allobates juami,Allobates juami,AmphibiaWeb
Allobates juanii,Allobates juanii,AmphibiaWeb
Allobates kamilae,Allobates kamilae,AmphibiaWeb
Allobates kingsburyi,Allobates kingsburyi,AmphibiaWeb
Allobates liniaureum,Allobates liniaureum,AmphibiaWeb
Allobates magnussoni,Allobates magnussoni,AmphibiaWeb
Allobates mandelorum,Allobates mandelorum,AmphibiaWeb
Allobates marchesianus,Allobates marchesianus,AmphibiaWeb
Allobates masniger,Allobates masniger,AmphibiaWeb
Allobates mcdiarmidi,Allobates mcdiarmidi,AmphibiaWeb
Allobates melanolaemus,Allobates melanolaemus,AmphibiaWeb
Allobates myersi,Allobates myersi,AmphibiaWeb
Allobates nidicola,Allobates nidicola,AmphibiaWeb
Allobates niputidea,Allobates niputidea,AmphibiaWeb
Allobates nunciatus,Allobates nunciatus,AmphibiaWeb
Allobates olfersioides,Dryadobates olfersioides,AmphibiaWeb
Allobates ornatus,Allobates ornatus,AmphibiaWeb
Allobates pacaas,Allobates pacaas,AmphibiaWeb
Allobates paleci,Allobates paleci,AmphibiaWeb
Allobates paleovarzensis,Allobates paleovarzensis,AmphibiaWeb
Allobates picachos,Allobates picachos,AmphibiaWeb
Allobates pittieri,Allobates pittieri,AmphibiaWeb
Allobates ranoides,Allobates ranoides,AmphibiaWeb
Allobates ripicolus,Allobates ripicolus,AmphibiaWeb
Allobates sanmartini,Allobates sanmartini,AmphibiaWeb
Allobates sieggreenae,Allobates sieggreenae,AmphibiaWeb
Allobates spumaponens,Allobates sumtuosus,AmphibiaWeb
Allobates subfolionidificans,Allobates subfolionidificans,AmphibiaWeb
Allobates sumtuosus,Allobates sumtuosus,AmphibiaWeb
Allobates talamancae,Allobates talamancae,AmphibiaWeb
Allobates tapajos,Allobates tapajos,AmphibiaWeb
Allobates tinae,Allobates tinae,AmphibiaWeb
Allobates trilineatus,Allobates trilineatus,AmphibiaWeb
Allobates undulatus,Allobates undulatus,AmphibiaWeb
Allobates vanzolinius,Allobates vanzolinius,AmphibiaWeb
Allobates velocicantus,Allobates velocicantus,AmphibiaWeb
Allobates vicinus,Allobates vicinus,AmphibiaWeb
Allobates wayuu,Allobates wayuu,AmphibiaWeb
Allobates zaparo,Allobates zaparo,AmphibiaWeb
Allopaa barmoachensis,Allopaa hazarensis,AmphibiaWeb
Allopaa hazarensis,Allopaa hazarensis,AmphibiaWeb
